,country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,totalTests,testsPerOneMillion
117,Angola,20782,0,506,0,19315.0,961.0,14,620,15,189473,5651
118,Madagascar,19831,0,297,0,19296.0,238.0,23,704,11,119608,4248
119,Maldives,19597,0,61,0,17132.0,2404.0,162,35840,112,518663,948565
120,Rwanda,18850,60,261,0,17313.0,1276.0,11,1432,20,1009041,76664
121,French Polynesia,18387,0,139,0,4842.0,13406.0,6,65207,493,26355,93464
122,Mauritania,17196,0,440,0,16542.0,214.0,14,3636,93,172508,36476
123,Eswatini,17014,12,652,2,14676.0,1686.0,36,14566,558,151217,129459
124,Mayotte,16861,0,109,0,2964.0,13788.0,22,60845,393,123040,444002
125,French Guiana,16627,0,85,0,9995.0,6547.0,6,54742,280,149894,493503
126,Guinea,15992,98,89,0,14897.0,1006.0,24,1197,7,138721,10379
127,Syria,15533,0,1023,0,9717.0,4793.0,0,874,58,0,0
128,Cabo Verde,15324,0,147,0,14784.0,393.0,23,27366,263,121657,217260
129,Gabon,14564,0,83,0,13143.0,1338.0,10,6444,37,524784,232199
130,Tajikistan,13308,0,90,0,13218.0,0.0,0,1375,9,0,0
131,Haiti,12448,0,249,0,9712.0,2487.0,0,1083,22,54379,4731
132,Réunion,12416,0,52,0,11270.0,1094.0,55,13803,58,98785,109819
133,Belize,12293,0,315,0,11836.0,142.0,2,30552,783,83888,208490
134,Burkina Faso,11982,0,142,0,11493.0,347.0,0,563,7,0,0
135,Hong Kong,11006,22,199,1,10536.0,271.0,17,1460,26,7980942,1058892
136,Andorra,10849,0,110,0,10429.0,310.0,17,140264,1422,193595,2502941
137,Lesotho,10491,0,292,0,3745.0,6454.0,0,4872,136,60460,28076
138,Guadeloupe,9746,0,159,0,2242.0,7345.0,6,24355,397,131178,327807
139,Suriname,8919,0,170,0,8399.0,350.0,8,15115,288,40756,69067
140,Congo,8820,0,128,0,7019.0,1673.0,0,1573,23,92500,16498
141,Guyana,8550,0,195,0,7971.0,384.0,4,10836,247,64463,81696
142,Bahamas,8519,0,179,0,7309.0,1031.0,2,21528,452,67841,171437
143,Mali,8376,11,353,1,6402.0,1621.0,0,406,17,153345,7433
144,South Sudan,7926,155,93,0,4217.0,3616.0,11,703,8,109705,9726
145,Aruba,7876,0,73,0,7563.0,240.0,11,73563,682,104854,979349
146,Trinidad and Tobago,7705,0,139,0,7458.0,108.0,2,5494,99,95939,68407
147,Somalia,7257,266,239,8,3808.0,3210.0,0,448,15,0,0
148,Togo,6851,0,83,0,5599.0,1169.0,0,815,10,235540,28022
149,Martinique,6687,0,45,0,98.0,6544.0,2,17829,120,100913,269050
150,Nicaragua,6445,0,173,0,4225.0,2047.0,0,965,26,0,0
151,Djibouti,6066,1,63,0,5897.0,106.0,0,6082,63,115711,116008
152,Iceland,6049,0,29,0,6006.0,14.0,8,17651,85,499700,1458110
153,Equatorial Guinea,6005,0,91,0,5622.0,292.0,24,4191,64,97933,68344
154,Benin,5434,0,70,0,4248.0,1116.0,35,441,6,476511,38645
155,CAR,5004,0,63,0,4920.0,21.0,2,1024,13,37104,7596
156,Niger,4740,0,172,0,4250.0,318.0,23,191,7,78967,3187
157,Curaçao,4727,0,22,0,4637.0,68.0,1,28729,134,50714,308224
158,Gambia,4691,0,148,0,4089.0,454.0,8,1906,60,42080,17099
159,Gibraltar,4239,1,93,0,4124.0,22.0,3,125846,2761,186632,5540672
160,Channel Islands,4034,0,86,0,3893.0,55.0,1,23062,492,365480,2089424
161,Chad,3973,0,140,0,3475.0,358.0,0,237,8,0,0
162,Sierra Leone,3887,0,79,0,2621.0,1187.0,0,481,10,116448,14406
163,San Marino,3716,0,74,0,3257.0,385.0,8,109365,2178,42306,1245100
164,Comoros,3571,0,144,0,3304.0,123.0,0,4050,163,0,0
165,Saint Lucia,3356,0,35,0,2912.0,409.0,2,18221,190,30884,167683
166,Guinea-Bissau,3262,15,48,0,2613.0,601.0,7,1632,24,52274,26158
167,Barbados,3038,0,33,0,2344.0,661.0,0,10563,115,125187,435270
168,Mongolia,2907,41,2,0,2249.0,656.0,8,877,0,1784899,538766
169,Eritrea,2847,0,7,0,2253.0,587.0,0,796,2,23693,6621
170,Seychelles,2618,26,11,0,2287.0,320.0,0,26512,111,5200,52659
171,Liechtenstein,2567,1,54,0,2484.0,29.0,3,67199,1414,27354,716073
172,Vietnam,2448,16,35,0,1876.0,537.0,0,25,0,1997072,20396
173,New Zealand,2376,4,26,0,2285.0,65.0,0,475,5,1707380,341333
174,Yemen,2285,16,634,3,1435.0,216.0,23,76,21,17404,575
175,Burundi,2209,28,3,0,773.0,1433.0,0,182,0,90019,7426
176,Turks and Caicos,2114,15,14,0,1873.0,227.0,8,54120,358,16831,430890
177,Sint Maarten,2055,0,27,0,1998.0,30.0,2,47574,625,19228,445134
178,Liberia,2014,1,85,0,1884.0,45.0,2,392,17,73921,14394
179,Monaco,1953,0,24,0,1704.0,225.0,11,49537,609,51953,1317768
180,Sao Tome and Principe,1786,0,28,0,1355.0,403.0,0,8051,126,11592,52257
181,St. Vincent Grenadines,1556,0,8,0,932.0,616.0,2,13996,72,35851,322479
182,Saint Martin,1544,0,12,0,1399.0,133.0,7,39490,307,21398,547277
183,Papua New Guinea,1275,0,12,0,846.0,417.0,0,141,1,47490,5243
